phase,name,type,version,layer,role,connects_to,interfaces,source,repo_url,crate_url,direct_dependencies,dependency_count_est,language_or_stack,deployment_form,maturity,license,last_verified_year,notes,status,gap_or_conflict,conflicts_with,missing_depends_on,priority,rationale,selected_primary,option_2,option_3,decision_notes,dependencies,reverse_dependencies,ecosystem,tags,security_notes
Phase 4: Specialized Domains (Robotics/Security/Verticals),qudag-exchange,crate,0.2.0,L4: Economy/Exchange,Quantum-resistant token exchange utilizing rUv tokens,agent payments; governance,Rust API,https://crates.io/crates/qudag-exchange,,https://crates.io/crates/qudag-exchange,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Security + regulatory surface; keep optional.,qudag-exchange-core; tokio; serde,qudag-mcp,rev.io / QuDAG direction,"exchange,economy",Token exchange increases compliance/security burden.
Phase 3: Swarm/Identity/Policy + Distributed Runtime,leanr-rag-gateway,crate,0.1.0,L3: RAG/Gateway,Multi-lane RAG gateway with cost-based routing and safety proof hooks,agentgateway; vector store (ruvector); policy plane (cedar); telemetry,Rust API,https://crates.io/crates/leanr-rag-gateway,,https://crates.io/crates/leanr-rag-gateway,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_2,,,Candidate RAG ingress. Treat safety proofs as 'nice-to-have' until the foundation is stable.,lean-agentic; serde; tokio,None listed,rev.io / QuDAG direction,"rag,gateway,formal,policy",Gateway must enforce capability tokens + audit logs; avoid direct filesystem/network without cap-std constraints.
Phase 3: Swarm/Identity/Policy + Distributed Runtime,micro_routing,crate,0.2.0,L3: Routing,Dynamic context routing for distributed micro networks,agent policy; scheduler,Rust API,https://crates.io/crates/micro_routing,,https://crates.io/crates/micro_routing,,,Rust,crate,,,2025.0,,candidate,needs-eval,fact-tools / leanr-rag-gateway routing semantics,,P3,,option_3,,,Potential overlap with FACT routing and RAG gateway routing.,micro_core; tokio,None listed,rev.io / QuDAG direction,"routing,context",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,midstreamer-quic,crate,0.1.0,L3: Transport/QUIC,QUIC multi-stream transport for native + WASM targets,agentgateway; swarm comms; p2p bridges,Rust API,https://crates.io/crates/midstreamer-quic,,https://crates.io/crates/midstreamer-quic,,,Rust,crate,,,2025.0,,candidate,needs-eval,qudag-network/libp2p transport stack,,P2,,option_2,,,Candidate transport where libp2p is too heavy; must reconcile with qudag-network/libp2p.,quinn; tokio; serde,None listed,rev.io / QuDAG direction,"quic,transport,wasm",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,code-mesh-core,crate,0.1.0,L3: Distributed Swarm Runtime,WASM-powered distributed swarm intelligence core library,agent runtime; wasm sandboxing; policy gates,Rust API,https://crates.io/crates/code-mesh-core,,https://crates.io/crates/code-mesh-core,,,Rust,crate,,,2025.0,,candidate,needs-eval,wasmtime-heavy stacks vs Redox kernel constraints,,P1,,option_2,,,Candidate sandboxed execution substrate; overlaps with WASM component-model direction—choose one primary.,urlencoding; serde; wasmtime,code-mesh-cli; code-mesh-tui; code-mesh-wasm,rev.io / QuDAG direction,"swarm,wasm,distributed,wasmtime",
Phase 4: Specialized Domains (Robotics/Security/Verticals),claude_market,crate,0.1.1,L4: Marketplace/Economy,P2P marketplace primitives for trading Claude API tokens with escrow/reputation,identity; governance; payments; policy,Rust API,https://crates.io/crates/claude_market,,https://crates.io/crates/claude_market,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Security-sensitive; keep out of foundation until identity/policy/audit is solid.,qudag-crypto; tokio; serde,None listed,rev.io / QuDAG direction,"marketplace,economy,crypto",Escrow/reputation/token trading expands threat surface; strict policy + audit + key handling required.
Phase 5: Research/Advanced ML + Formal Methods,cuda-rust-wasm,crate,0.1.6,L5: GPU/WASM Tooling,Transpiler converting CUDA code to Rust with WASM/WebGPU execution support,gpu backend experimentation; web runtime,Rust API,https://crates.io/crates/cuda-rust-wasm,,https://crates.io/crates/cuda-rust-wasm,,,Rust,crate,,,2025.0,,candidate,needs-eval,cubecl/tracel-ai; candle-vllm,,P3,,option_3,,,Research tool; evaluate against cubecl/candle-vllm stack.,syn; proc-macro2; quote; wasm-bindgen,None listed,rev.io / QuDAG direction,"cuda,wasm,webgpu,transpiler",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,qudag-network,crate,0.5.0,L3: Networking/P2P,P2P networking layer for QuDAG via libp2p with onion routing,agent mesh; gateway; transport,Rust API,https://crates.io/crates/qudag-network,https://github.com/ruvnet/QuDAG,https://crates.io/crates/qudag-network,,,Rust,crate,,,2025.0,,candidate,ok,,,P1,,selected,,,Primary transport overlay for hive mind. Needs clear boundary vs agentgateway ingress.,libp2p; qudag-crypto; tokio,qudag-protocol,rev.io / QuDAG direction,"network,libp2p,onion,qudag",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,qudag,crate,1.4.0,L3: Swarm/Network,Quantum-resistant comms platform w/ DAG architecture + swarm support,libp2p; agent swarm; vault; exchange; mcp,Rust API,https://crates.io/crates/qudag,https://github.com/ruvnet/QuDAG,https://crates.io/crates/qudag,,,Rust,crate,,,2025.0,,candidate,ok,,,P1,,selected,,,Core swarm substrate for QuDAG direction. Treat as primary P2P overlay; decide how it coexists with rust-libp2p directly.,qudag-crypto; qudag-network; tokio,qudag-cli; qudag-wasm,rev.io / QuDAG direction,"qudag,p2p,dag,crypto",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,qudag-cli,crate,0.5.0,L3: Swarm/CLI,CLI for QuDAG node/peer management,ops/runbooks,Rust API,https://crates.io/crates/qudag-cli,https://github.com/ruvnet/QuDAG,https://crates.io/crates/qudag-cli,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_2,,,Operator tool. Not foundation but needed for bring-up.,qudag; clap; tokio,None listed,rev.io / QuDAG direction,"qudag,cli",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,qudag-protocol,crate,0.5.0,L3: Protocol/Orchestrator,"Protocol orchestrator coordinating crypto, DAG consensus, networking",qudag; mcp servers; apps,Rust API,https://crates.io/crates/qudag-protocol,https://github.com/ruvnet/QuDAG,https://crates.io/crates/qudag-protocol,,,Rust,crate,,,2025.0,,candidate,ok,,,P1,,selected,,,Core coordinator; aligns with hive mind overlay.,qudag-crypto; qudag-dag; qudag-network,qudag,rev.io / QuDAG direction,"protocol,qudag",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,qudag-dag,crate,0.5.0,L3: Consensus/DAG,DAG consensus for QuDAG,qudag-protocol,Rust API,https://crates.io/crates/qudag-dag,https://github.com/ruvnet/QuDAG,https://crates.io/crates/qudag-dag,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,selected,,,Consensus layer; keep deterministic and test-heavy.,qudag-crypto; petgraph; serde,qudag-protocol,rev.io / QuDAG direction,"dag,consensus,qudag",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,qudag-crypto,crate,0.5.1,L3: Crypto/PQ,Post-quantum crypto for QuDAG,identity; vault; protocol,Rust API,https://crates.io/crates/qudag-crypto,https://github.com/ruvnet/QuDAG,https://crates.io/crates/qudag-crypto,,,Rust,crate,,,2025.0,,candidate,ok,,,P1,,selected,,,Primary crypto layer in this direction. Must be audited/locked down.,blake3; serde; rand,qudag; qudag-protocol; qudag-vault-core,rev.io / QuDAG direction,"crypto,pq,qudag",
Phase 4: Specialized Domains (Robotics/Security/Verticals),qudag-exchange-standalone-cli,crate,0.3.1,L4: Economy/CLI,Standalone CLI for rUv exchange without full node,ops,Rust API,https://crates.io/crates/qudag-exchange-standalone-cli,https://github.com/ruvnet/QuDAG,https://crates.io/crates/qudag-exchange-standalone-cli,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Ops tool; optional.,qudag-exchange-core; clap; tokio,None listed,rev.io / QuDAG direction,"exchange,cli",
Phase 5: Research/Advanced ML + Formal Methods,midstreamer-neural-solver,crate,0.1.0,L5: Research/Solver,Temporal logic engine integrating neural reasoning for causal solving,planning/reasoning,Rust API,https://crates.io/crates/midstreamer-neural-solver,,https://crates.io/crates/midstreamer-neural-solver,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research module.,midstreamer-attractor; serde; tokio,None listed,rev.io / QuDAG direction,"research,solver,temporal",
Phase 1: Foundation (env/configs/redox),jj-vcs/jj,repo,v0.28.1 (latest tag shown),L6: DevOps/Versioning,"Git-compatible, change-centric VCS optimized for rewriting history safely; operation log + undo; auto-rebase; first-class conflicts; designed safe under concurrency",Developer workflows; agent coding loops; update A/B workflows; CI pipelines,CLI (jj); Git backend storage; Git remotes,https://github.com/jj-vcs/jj,https://github.com/jj-vcs/jj,,,,Rust,repo/binary,,,,Use as working-copy change log and reversible history for agent edits; still experimental per upstream README.,candidate,ok,pijul (if selected as VCS backbone),,P1,Strong fit for multi-agent code rewriting because of operation log/undo and automatic rebase; keeps Git interoperability while reducing footguns.,yes,pijul (repo),git (baseline),JJ chosen for agent-friendly rewriting + operation log + Git compatibility; Pijul remains strong alt if you can accept ecosystem split.,,,,,
Phase 5: Research/Advanced ML + Formal Methods,lean-agentic,crate,0.1.0,L5: Formal Methods,Formally verified agentic programming library,policy proofs; deterministic planning,Rust API,https://crates.io/crates/lean-agentic,,https://crates.io/crates/lean-agentic,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Long-term capability; do not block foundation on formal stack adoption.,serde; thiserror; uuid,leanr-rag-gateway; leanr-wasm,rev.io / QuDAG direction,"formal,verification,lean",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-market-data,crate,1.0.0,L4: Trading/MarketData,Market data providers + streaming,streaming,Rust API,https://crates.io/crates/nt-market-data,,https://crates.io/crates/nt-market-data,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical.,nt-core; reqwest; serde; tokio,None listed,rev.io / QuDAG direction,"trading,market-data",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,micro_metrics,crate,0.2.0,L3: Metrics/Perf,Performance monitoring for micro architectures,telemetry plane (tracing/otel),Rust API,https://crates.io/crates/micro_metrics,,https://crates.io/crates/micro_metrics,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Only keep if micro_* stack is adopted.,micro_core; serde,None listed,rev.io / QuDAG direction,"metrics,perf",
Phase 5: Research/Advanced ML + Formal Methods,micro_cartan_attn,crate,0.2.0,L5: Research/Attention,Cartan/Lie algebra attention mechanisms,ML experimentation,Rust API,https://crates.io/crates/micro_cartan_attn,,https://crates.io/crates/micro_cartan_attn,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research module.,micro_core; ndarray,None listed,rev.io / QuDAG direction,"attention,math,research",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,micro_core,crate,0.2.0,L3: Micro-Expert Primitives,no_std semantic Cartan matrix primitives foundation,embedded nodes; portability layer,Rust API,https://crates.io/crates/micro_core,,https://crates.io/crates/micro_core,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_3,,,Keep as optional micro-expert substrate; don't block foundation.,(none listed),micro_cartan_attn; micro_metrics; micro_routing; micro_swarm,rev.io / QuDAG direction,"no_std,primitives,embedded",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,micro-hnsw-wasm,crate,2.3.0,L3: Vector/Search (Edge),Tiny WASM HNSW-like search for edge/embedded,leanr-rag-gateway; browser/edge nodes,Rust API,https://crates.io/crates/micro-hnsw-wasm,,https://crates.io/crates/micro-hnsw-wasm,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Alternative to ruvector for WASM/edge; evaluate quality/recall.,serde; wasm-bindgen,None listed,rev.io / QuDAG direction,"vector,wasm,edge,search",
Phase 5: Research/Advanced ML + Formal Methods,leanr-wasm,crate,0.1.0,L5: Formal/WASM,WASM bindings for lean-agentic (hash-consed dependent types),browser/edge nodes,Rust API,https://crates.io/crates/leanr-wasm,,https://crates.io/crates/leanr-wasm,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Only needed if you run proof-carrying logic in browser nodes early.,lean-agentic; wasm-bindgen; js-sys,None listed,rev.io / QuDAG direction,"formal,wasm,lean",
Phase 5: Research/Advanced ML + Formal Methods,midstreamer-attractor,crate,0.1.0,L5: Research/Dynamics,"Dynamical systems analysis (strange attractors, chaos)",analysis pipeline,Rust API,https://crates.io/crates/midstreamer-attractor,,https://crates.io/crates/midstreamer-attractor,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research tool; not part of foundation.,ndarray; serde,None listed,rev.io / QuDAG direction,"research,chaos",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-napi-bindings,crate,1.0.0,L4: Trading/Bindings,Node.js N-API bindings for Neural Trader,js ecosystem,Rust API,https://crates.io/crates/nt-napi-bindings,,https://crates.io/crates/nt-napi-bindings,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Only if you need JS bindings.,nt-core; napi; napi-derive,None listed,rev.io / QuDAG direction,"bindings,nodejs",
Phase 5: Research/Advanced ML + Formal Methods,kimi-fann-core,crate,0.1.3,L5: Research/Micro-Experts,Micro-expert neural architecture core,ruv-fann; wasm pipeline,Rust API,https://crates.io/crates/kimi-fann-core,,https://crates.io/crates/kimi-fann-core,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research; evaluate maturity and compatibility.,ruv-fann; serde; tokio,kimi-expert-analyzer,rev.io / QuDAG direction,"experts,wasm,research",
Phase 5: Research/Advanced ML + Formal Methods,midstreamer-temporal-compare,crate,0.1.0,L5: Research/Utils,Temporal sequence comparison utilities,analysis,Rust API,https://crates.io/crates/midstreamer-temporal-compare,,https://crates.io/crates/midstreamer-temporal-compare,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Utility.,ndarray; serde; itertools,None listed,rev.io / QuDAG direction,"research,temporal",
Phase 5: Research/Advanced ML + Formal Methods,geometric-langlands,crate,0.1.0,L5: Research/Neural-Symbolic,Geometric Langlands computational framework,cuda-rust-wasm; wasm,Rust API,https://crates.io/crates/geometric-langlands,,https://crates.io/crates/geometric-langlands,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research: keep out of core OS path unless you have a concrete use.,ndarray; serde; cuda-rust-wasm (optional),geometric-langlands-cli,rev.io / QuDAG direction,"research,math,neural-symbolic",
Phase 4: Specialized Domains (Robotics/Security/Verticals),daa-economy,crate,0.2.1,L4: Economy/Incentives,Economic layer for incentives within DAA framework,governance; payments,Rust API,https://crates.io/crates/daa-economy,,https://crates.io/crates/daa-economy,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Avoid simulation-first bias; add when you need incentive mechanics.,rust_decimal; serde; daa-core,daa-orchestrator,rev.io / QuDAG direction,"economy,incentives,daa",
Phase 2: Core runtime + MCP/tooling,fact-tools,crate,1.0.0,L2: Context/Cache Tools,FACT engine for processing AI context with caching,RAG gateway; prompt/skill caching; vector store,Rust API,https://crates.io/crates/fact-tools,,https://crates.io/crates/fact-tools,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_2,,,Useful early for context shaping and caching.,serde; tokio; anyhow,fact-wasm-core,rev.io / QuDAG direction,"context,cache,tools",
Phase 4: Specialized Domains (Robotics/Security/Verticals),daa-prime-core,crate,0.1.0,L4: ML/Prime Core,Primitives and logic for DAA Prime agents,model runtime,Rust API,https://crates.io/crates/daa-prime-core,,https://crates.io/crates/daa-prime-core,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Later: depends on concrete use case for Prime.,serde; tokio; thiserror,daa-prime-inference; daa-prime-server; daa-prime-trainer,rev.io / QuDAG direction,"ml,daa-prime",
Phase 4: Specialized Domains (Robotics/Security/Verticals),daa-prime-inference,crate,0.1.0,L4: ML/Inference,Inference engine optimized for DAA Prime agents,gpu/cpu backends,Rust API,https://crates.io/crates/daa-prime-inference,,https://crates.io/crates/daa-prime-inference,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Later: heavy deps (LibTorch). Evaluate vs candle/ruvllm/dynamo-llm.,daa-prime-core; tch,daa-prime-server,rev.io / QuDAG direction,"inference,ml,tch",
Phase 4: Specialized Domains (Robotics/Security/Verticals),opencv-sdk,crate,4.8.1,L4: Vision/SDK,OpenCV SDK compatibility layer,vision apps,Rust API,https://crates.io/crates/opencv-sdk,,https://crates.io/crates/opencv-sdk,,,Rust,crate,,,2025.0,,candidate,portability-risk,,,P3,,option_3,,,Requires system libs; keep optional.,opencv-core; pkg-configs,None listed,rev.io / QuDAG direction,"vision,opencv,sdk",
Phase 4: Specialized Domains (Robotics/Security/Verticals),daa-prime-trainer,crate,0.2.1,L4: ML/Training,Distributed SGD/FSDP trainer for DAA Prime,training pipelines,Rust API,https://crates.io/crates/daa-prime-trainer,,https://crates.io/crates/daa-prime-trainer,,,Rust,crate,,,2025.0,,candidate,conflict,daa-prime-trainer=0.1.0 (duplicate entry in source list),,P3,,option_3,,,You listed both 0.1.0 and 0.2.1; track latest and mark conflict.,daa-prime-core; tch; serde_json; tokio,,rev.io / QuDAG direction,"training,ml,tch",
Phase 5: Research/Advanced ML + Formal Methods,exo-federation,crate,0.1.0,L5: Research/Federation,Federated cognitive mesh primitives,libp2p; qudag-crypto; identity,Rust API,https://crates.io/crates/exo-federation,,https://crates.io/crates/exo-federation,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,"Overlaps with your swarm layer; evaluate concepts, not foundation.",exo-core; libp2p; qudag-crypto; serde,exo-node,rev.io / QuDAG direction,"federation,libp2p,crypto",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-portfolio,crate,1.0.0,L4: Trading/Portfolio,Portfolio management + performance tracking,analytics,Rust API,https://crates.io/crates/nt-portfolio,,https://crates.io/crates/nt-portfolio,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical.,nt-core; chrono; serde,None listed,rev.io / QuDAG direction,"trading,portfolio",
Phase 5: Research/Advanced ML + Formal Methods,exo-core,crate,0.1.0,L5: Research/Cognitive Substrate,Core traits/types for EXO-AI cognitive substrate,node runtime; libp2p; qudag-crypto,Rust API,https://crates.io/crates/exo-core,,https://crates.io/crates/exo-core,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Experimental substrate; keep away from foundation until validated.,serde; tokio; thiserror; uuid,exo-* modules,rev.io / QuDAG direction,"research,cognition",
Phase 5: Research/Advanced ML + Formal Methods,exo-backend-classical,crate,0.1.0,L5: Research/Compute Backend,Classical compute backend for EXO-AI (SIMD acceleration),exo-node,Rust API,https://crates.io/crates/exo-backend-classical,,https://crates.io/crates/exo-backend-classical,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Experimental backend.,exo-core; rayon; pulp,exo-node,rev.io / QuDAG direction,"simd,backend,research",
Phase 5: Research/Advanced ML + Formal Methods,midstreamer-strange-loop,crate,0.1.0,L5: Research/Meta-learning,Research library for self-referential systems and meta-learning,learning loop,Rust API,https://crates.io/crates/midstreamer-strange-loop,,https://crates.io/crates/midstreamer-strange-loop,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research module.,midstreamer-attractor; serde; petgraph,None listed,rev.io / QuDAG direction,"research,meta-learning",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,midstreamer-scheduler,crate,0.1.0,L3: Scheduler/RT,Ultra-low-latency scheduler for streaming workloads,supervisor; agent runtime; robotics RT,Rust API,https://crates.io/crates/midstreamer-scheduler,,https://crates.io/crates/midstreamer-scheduler,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_2,,,Candidate internal scheduler (task plane) if tokio alone isn't enough. Verify determinism/portability.,crossbeam; tokio; parking_lot,None listed,rev.io / QuDAG direction,"scheduler,rt,latency",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,nanosecond-scheduler,crate,0.1.1,L3: Scheduler/Precision,Ultra-low latency scheduler with nanosecond precision,RT tasks; telemetry timestamps,Rust API,https://crates.io/crates/nanosecond-scheduler,,https://crates.io/crates/nanosecond-scheduler,,,Rust,crate,,,2025.0,,candidate,portability-risk,,,P3,,option_3,,,Portability risk: relies on platform-specific clocks. Keep optional.,libc; cfg-if; tsc-now,nano-consciousness; exo-temporal,rev.io / QuDAG direction,"scheduler,precision",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,code-mesh-cli,crate,0.1.0,L3: Distributed Swarm Runtime,CLI for operating Code-Mesh swarm system,ops/runbooks,Rust API,https://crates.io/crates/code-mesh-cli,,https://crates.io/crates/code-mesh-cli,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_3,,,Operator surface; not foundation.,code-mesh-core; clap; tokio,None listed,rev.io / QuDAG direction,"cli,swarm",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-features,crate,1.0.0,L4: Trading/Features,Feature extraction/engineering for trading signals,ml pipeline,Rust API,https://crates.io/crates/nt-features,,https://crates.io/crates/nt-features,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical.,nt-core; ta; ndarray,None listed,rev.io / QuDAG direction,"trading,features",
