asset_id,name,location,asset_type,layer,authority,owner,consumer_status,planned_consumer,consumed_by,depends_on,produces,conflicts_with,associated_files,metadata,merge_key,canonical_pointer,schema_ref,schema_status,validation_mode,reloadable,watch_path,contained,containment_mechanism,kernel_mode_relevance,platform_scope,confidentiality,has_secrets,tracked_in_git,env_vars_used,env_example_covered,reproducible,versioning,lineage_required,doc_tier,runbook_verified,truth_link,indexed,traced,errors,issues,next_actions,notes
A0018,sys-desktop-proxy-configs.rs,sys/desktop/proxy/configs.rs,code_consumer,mutable,authoritative,sys-desktop,planned,sys/desktop proxy,sys/desktop,,,,configs/desktop-apps.json; configs/schemas/desktop-apps.json,rust_structs=yes,,,,,hard_fail,NA,,yes,APPDATA/XDG redirect,sandbox;native,all,internal,no,yes,,yes,yes,none,NA,NA,sys/desktop/proxy/configs.rs,no,no,no,,Wire schema validation; ensure fields align,,
A0019,sys-desktop-target-rustc-info.json,sys/desktop/target/.rustc_info.json,generated,cache,generated,sys-desktop,none,,,,,,,,,generated=yes,,,,no,none,no,NA,NA,NA,NA,all,internal,no,no,,,NA,NA,none,NA,NA,sys/desktop/target/.rustc_info.json,no,no,,", Exclude from audits unless debugging,"
A0020,appdata-nextjs-configs.json,data/appdata/roaming/nextjs-nodejs/configs/configs.json,generated,state,external,tooling,none,,,,,,,,telemetry=yes,,,,,none,no,yes,yes,APPDATA redirect,NA,windows,internal,unknown,no,,,NA,NA,none,NA,NA,data/appdata/roaming/nextjs-nodejs/configs/configs.json,no,no,,,Exclude from NOA policy (generated);
A0021,go-telemetry-count,data/appdata/roaming/go/telemetry/local/*.count,generated,state,external,tooling,none,,,,,,,,telemetry=yes,,,,,none,no,yes,yes,APPDATA redirect,NA,windows,internal,unknown,no,,,NA,NA,none,NA,NA,data/appdata/roaming/go/telemetry/local/*.count,no,no,,,Exclude from NOA policy (generated);
A0022,go-telemetry-upload-token,data/appdata/roaming/go/telemetry/local/upload.token,generated,state,external,tooling,none,,,,,,,,telemetry=yes,,,,,none,no,yes,yes,APPDATA redirect,NA,windows,internal,unknown,no,,,NA,NA,none,NA,NA,data/appdata/roaming/go/telemetry/local/upload.token,no,no,,,Exclude from NOA policy (generated);
A0023,go-telemetry-weekends,data/appdata/roaming/go/telemetry/local/weekends,generated,state,external,tooling,none,,,,,,,,telemetry=yes,,,,,none,no,yes,yes,APPDATA redirect,NA,windows,internal,unknown,no,,,NA,NA,none,NA,NA,data/appdata/roaming/go/telemetry/local/weekends,no,no,,,Exclude from NOA policy (generated);
A0024,sys-core-data-noa.db,sys/core/data/noa.db,runtime_data,data,authoritative,sys-core,planned,sys/core db layer,sys/core/src/db,,,,sqlite_db=yes,,,,,none,no,no,yes,contained,NA,all,internal,unknown,yes,NOA_ROOT,yes,yes,content-hash,yes,Draft,NA,sys/core/data/noa.db,no,no,no,,Exclude from configs schema policy; ensure backups,,
A0025,noa-env,.env,configs,mutable,authoritative,tooling,planned,env loaders,noa-env.ps1;.noa-env,,,,.env.example; noa-env.ps1; noa-profile.ps1; configs/noa-server.json,env_vars=yes,,,/NOA_ROOT,,missing,hard_fail,no,NA,yes,env redirect,all,all,secret,yes,no,NOA_ROOT;NOA_ENV;*,yes,yes,none,yes,NA,NA,.env,no,no,,,"Ensure .env is gitignored; no secrets in repo,"
A0026,noa-env-example,.env.example,configs,mutable,authoritative,tooling,none,,,,,,,,template=yes,,,,hard_fail,hard_fail,no,NA,yes,env redirect,all,all,public,no,yes,NOA_ROOT;NOA_ENV;*,yes,yes,none,yes,Draft,NA,.env.example,no,no,,,"Keep in sync with env-policy.md,"
A0027,noa-noa-env-script,.noa-env,.noa-env,configs,mutable,authoritative,tooling,none,,,,,,noa-env.ps1; configs/noa-server.json,shell_setup=yes,,,,,hard_fail,no,NA,yes,XDG redirect,all,all,internal,no,yes,NOA_ROOT;XDG_*,yes,yes,none,yes,Draft,NA,.noa-env,no,no,,,"Define supported shells; test,"
A0028,noa-ps-profile,noa-profile.ps1,noa-profile.ps1,tooling,mutable,authoritative,tooling,none,,,,,,noa-env.ps1,ps_profile=yes,,,,,warn,no,NA,yes,env redirect,all,windows,internal,no,yes,NOA_ROOT,yes,yes,none,NA,Draft,NA,noa-profile.ps1,no,no,,,"Keep path logic correct,"
A0029,noa-ps-env,noa-env.ps1,noa-env.ps1,tooling,mutable,authoritative,tooling,none,,,,,,.env;.noa-env,ps_env_setup=yes,,,,,warn,no,NA,yes,APPDATA redirect,all,windows,internal,no,yes,NOA_ROOT;APPDATA;LOCALAPPDATA;XDG_*,yes,yes,none,NA,Draft,NA,noa-env.ps1,no,no,,,"Consolidate duplicate Add-NoaPath; lint,"
A0030,CppProperties.json,CppProperties.json,tooling,mutable,derived,tooling,none,,,,,,,,cpp_tools=yes,,,,,none,no,NA,NA,NA,NA,windows,internal,no,yes,,,no,yes,none,NA,NA,CppProperties.json,no,no,,,"Not runtime configs,"
A0031,tsconfigs.json,tsconfigs.json,tooling,mutable,derived,tooling,none,,,,,,,,typescript=yes,,,,,none,no,NA,NA,NA,NA,all,internal,no,yes,,,no,yes,none,NA,NA,tsconfigs.json,no,no,,,"Not runtime configs,"
A0032,noa-server.json,configs/noa-server.json,configs,mutable,authoritative,sys-core,planned,configsLoader merge_map,sys/core/src/api/server.rs,,,legacy server.*,sys/core/src/configs/merge_map.rs; sys/core/src/configs/loader.rs; sys/core/src/api/server.rs,version=1.0.0;authoritative=yes;api_section=yes,noa_server,/api,configs/schemas/configs_schema.json,missing,warn,yes,sys/core/src/configs/watch.rs,yes,env redirect,all,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/noa-server.json,no,no,,Legacy docs refer to server.*; runtime precedence fixed,Update schema refs; wire typed consumption from noa_server,
A0033,ai-providers.json,configs/ai-providers.json,configs,mutable,authoritative,ai,planned,Provider registry bootstrap,sys/core/src/providers;ai/providers/**/*,,,types vs type,sys/core/src/configs/merge_map.rs; sys/core/src/configs/loader.rs(build_provider_configs),version=1.0.0,providers,,configs/schemas/providers.yaml,exists,warn,yes,sys/core/src/configs/watch.rs,yes,env redirect,NA,all,internal,unknown,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/ai-providers.json,no,no,,types vs type,Update file+schema; update loader; define canonical provider contract,
A0034,features.json,configs/features.json,configs,mutable,authoritative,sys-core,planned,Feature gate,sys/core feature flags,,,shape mismatch,sys/core/src/configs/merge_map.rs; sys/core/src/configs/loader.rs(build_feature_flags),version=1.0.0,feature_flags,,configs/schemas/configs_schema.json,missing,warn,yes,sys/core/src/configs/watch.rs,yes,env redirect,NA,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/features.json,no,no,,shape mismatch,Define canonical feature flag schema; update file+loader,
A0035,shared-resources.json,configs/shared-resources.json,configs,mutable,authoritative,ai,planned,Shared resource resolver,ai/shared/*,,,,sys/core/src/configs/merge_map.rs; sys/core/src/configs/loader.rs,version=1.0.0,shared_resources,,configs/schemas/configs_schema.json,missing,warn,yes,sys/core/src/configs/watch.rs,yes,env redirect,NA,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/shared-resources.json,no,no,,,Potential schema ref mismatch,"Add schema; decide consumer or mark raw-only,"
A0036,device-orchestration.json,configs/device-orchestration.json,configs,mutable,authoritative,ai,planned,Device orchestration,ai/devices;sys/core orchestration,,,,sys/core/src/configs/merge_map.rs; sys/core/src/configs/loader.rs,version=1.0.0,device_orchestration,,configs/schemas/configs_schema.json,missing,warn,yes,sys/core/src/configs/watch.rs,yes,env redirect,NA,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/device-orchestration.json,no,no,,,Not consumed,"Define consumer; add schema,"
A0037,database.yaml,configs/database.yaml,configs,mutable,authoritative,sys-core,planned,DB layer configs,sys/core/db;sys/core/configs,,,raw.database vs raw.database_configs,sys/core/src/configs/merge_map.rs; sys/core/src/configs/loader.rs(build_database_configs),version=1.0,database_configs,,configs/schemas/configs_schema.json,missing,warn,yes,,yes,env redirect,NA,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/database.yaml,no,no,,database vs database_configs,Update typed loader to read database_configs or consolidate into noa-server.json,
A0038,observability.yaml,configs/observability.yaml,configs,mutable,authoritative,sys-core,planned,Telemetry configs,sys/core/observability,,,,sys/core/src/configs/merge_map.rs; sys/core/src/configs/loader.rs; sys/core/src/observability/telemetry.rs,,observability,,configs/schemas/configs_schema.json,missing,warn,yes,,yes,env redirect,NA,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/observability.yaml,no,no,,Not loaded into typed configs,Decide authoritative logging/tracing source; wire consumption,
A0039,minio.yaml,configs/minio.yaml,configs,mutable,authoritative,sys-core,planned,Object storage configs,sys/core/services/storage,,,,sys/core/src/configs/merge_map.rs; sys/core/src/configs/loader.rs,,minio,,configs/schemas/configs_schema.json,missing,warn,yes,,yes,env redirect,NA,all,internal,unknown,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/minio.yaml,no,no,,,Not consumed,"Define consumer; add schema,"
A0040,qdrant.yaml,configs/qdrant.yaml,configs,mutable,authoritative,sys-core,planned,Vector store configs,sys/core/vector,,,,sys/core/src/configs/merge_map.rs; sys/core/src/vector/qdrant_client.rs,,qdrant,,configs/schemas/configs_schema.json,missing,warn,yes,,yes,env redirect,NA,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/qdrant.yaml,no,no,,,Partial consumer,"Wire qdrant configs into client factory; add schema,"
A0041,quickwit.yaml,configs/quickwit.yaml,configs,mutable,authoritative,sys-core,planned,Search configs,sys/core/services/search,,,,sys/core/src/configs/merge_map.rs,,quickwit,,configs/schemas/configs_schema.json,missing,warn,yes,,yes,env redirect,NA,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/quickwit.yaml,no,no,,,Not consumed,"Define consumer; add schema,"
A0042,desktop-apps.json,configs/desktop-apps.json,configs,mutable,authoritative,sys-desktop,planned,Desktop containment,sys/desktop/proxy/configs.rs,,,,configs/schemas/desktop-apps.json,version=1.0.0,desktop_apps,,configs/schemas/desktop-apps.json,exists,hard_fail,yes,,yes,APPDATA redirect,sandbox,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/desktop-apps.json,no,no,,,Schema exists but not validated at runtime,"Add validation tooling; align consumer,"
A0043,kernel-selection-policy.json,configs/kernel-selection-policy.json,configs,mutable,authoritative,sys-kernel,planned,Kernel selector,sys/kernel/** scripts,,,,,version=1.0.0,kernel_selection_policy,,configs/schemas/configs_schema.json,missing,warn,yes,,yes,env redirect,all,all,internal,no,yes,NOA_ROOT;NOA_KERNEL_MODE,yes,yes,semver,yes,Draft,NA,configs/kernel-selection-policy.json,no,no,,,Not consumed by core,"Decide consumer or keep tooling-only; add schema,"
A0044,git-conflict-ai.json,configs/git-conflict-ai.json,configs,mutable,authoritative,tooling,none,,,,,,,,version=1.0.0,git_conflict_ai,,configs/schemas/configs_schema.json,missing,warn,no,NA,yes,env redirect,NA,all,internal,unknown,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/git-conflict-ai.json,no,no,,,"Not consumed by core, Decide consumer; add schema; document owner,"
A0045,git-local-cicd.json,configs/git-local-cicd.json,configs,mutable,authoritative,tooling,none,,,,,,,,version=1.0.0,git_local_cicd,,configs/schemas/configs_schema.json,missing,warn,no,NA,yes,env redirect,NA,all,internal,unknown,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/git-local-cicd.json,no,no,,,"Not consumed by core, Decide consumer; add schema; document owner,"
A0046,git-pr-workflow.json,configs/git-pr-workflow.json,configs,mutable,authoritative,tooling,none,,,,,,,,version=1.0.0,git_pr_workflow,,configs/schemas/configs_schema.json,missing,warn,no,NA,yes,env redirect,NA,all,internal,unknown,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/git-pr-workflow.json,no,no,,,"Not consumed by core, Decide consumer; add schema; document owner,"
A0047,tools.json,configs/tools.json,configs,mutable,authoritative,tooling,planned,bootstrap,scripts/bootstrap,,,,,version=2.0.0,tools,,configs/schemas/configs_schema.json,missing,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/tools.json,no,no,,,Not consumed by core,"Decide if core should load; document owner,"
A0048,bootstrap-tools.json,configs/bootstrap-tools.json,configs,mutable,authoritative,tooling,planned,bootstrap,scripts/bootstrap,,,,,version=2.1.0,bootstrap_tools,,configs/schemas/configs_schema.json,missing,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/bootstrap-tools.json,no,no,,,Not consumed by core,"Decide if core should load; document owner,"
A0049,bootstrap-state.json,configs/bootstrap-state.json,configs,state,derived,tooling,planned,bootstrap,scripts/bootstrap,,,,,version=1.0.0,bootstrap_state,,configs/schemas/configs_schema.json,missing,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/bootstrap-state.json,no,no,,,Not consumed by core,"Decide if core should load; document owner,"
A0050,providers-default.yaml,configs/providers/default.yaml,configs,mutable,authoritative,ai,planned,providers registry,sys/core/src/providers/mod.rs;ai/providers/**/*,,,,configs/schemas/providers.yaml,provider_defaults,,configs/schemas/providers.yaml,exists,warn,yes,no,yes,env redirect,NA,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,configs/providers/default.yaml,no,no,no,,Schema exists; not validated at runtime,Add validation; decide canonical provider contract,
A0051,schema-configs_schema.json,configs/schemas/configs_schema.json,schema,immutable,authoritative,docs,none,,,,,,,,version=1.0.0,,,,configs/schemas/configs_schema.json,exists,hard_fail,NA,NA,NA,NA,NA,all,public,no,yes,,,yes,yes,semver,yes,Reviewed,NA,configs/schemas/configs_schema.json,no,no,", , Draft mismatch vs others; env pattern too strict, Normalize schema draft; allow ${VAR:-default}; document schema policy,"
A0052,schema-providers.yaml,configs/schemas/providers.yaml,schema,immutable,authoritative,docs,none,,,,,,,,,,,,hard_fail,configs/schemas/providers.yaml,exists,hard_fail,NA,,NA,NA,NA,all,public,no,yes,,,yes,yes,semver,yes,Reviewed,NA,configs/schemas/providers.yaml,no,"no, , , Shape mismatch vs ai-providers.json, Decide canonical provider schema; update schema+configss,"
A0053,schema-desktop-apps.json,configs/schemas/desktop-apps.json,schema,immutable,authoritative,docs,none,,,,,,,,,,,,hard_fail,configs/schemas/desktop-apps.json,exists,hard_fail,NA,,NA,NA,NA,all,public,no,yes,,,yes,yes,semver,yes,Reviewed,NA,configs/schemas/desktop-apps.json,no,"no, , , Uses draft-07; ok, Add runtime schema validation,"
A0054,schema-mcp-servers.json,configs/schemas/mcp-servers.json,schema,immutable,authoritative,docs,none,,,,,,,,,,,,hard_fail,configs/schemas/mcp-servers.json,exists,hard_fail,NA,,NA,NA,NA,all,public,no,yes,,,yes,yes,semver,yes,Draft,NA,configs/schemas/mcp-servers.json,no,"no, , , Schema only, Decide consumer and validation,"
A0055,README.md,ai/shared/README.md,doc,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,no,yes,,yes,yes,semver,yes,Draft,,ai/shared/README.md,no,no,,,,
A0056,code-generation-agent.json,ai/shared/agents/code-generation-agent.json,configs,mutable,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/agents/code-generation-agent.json,no,no,,,,
A0057,inline-completion-agent.json,ai/shared/agents/inline-completion-agent.json,configs,mutable,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/agents/inline-completion-agent.json,no,no,,,,
A0058,orchestration-agent.json,ai/shared/agents/orchestration-agent.json,configs,mutable,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/agents/orchestration-agent.json,no,no,,,,
A0059,README.md,ai/shared/agents/README.md,doc,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,no,yes,,yes,yes,semver,yes,Draft,,ai/shared/agents/README.md,no,no,,,,
A0060,reasoning-agent.json,ai/shared/agents/reasoning-agent.json,configs,mutable,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/agents/reasoning-agent.json,no,no,,,,
A0061,README.md,ai/shared/commands/README.md,doc,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,no,yes,,yes,yes,semver,yes,Draft,,ai/shared/commands/README.md,no,no,,,,
A0062,ultrathink.command.yaml,ai/shared/commands/ultrathink.command.yaml,configs,mutable,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/commands/ultrathink.command.yaml,no,no,,,,
A0063,deepseek-r1-distill-qwen-1.5b.json,ai/shared/models/deepseek-r1-distill-qwen-1.5b.json,configs,cache,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/models/deepseek-r1-distill-qwen-1.5b.json,no,no,,,,
A0064,gemma-3-1b.json,ai/shared/models/gemma-3-1b.json,configs,cache,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/models/gemma-3-1b.json,no,no,,,,
A0065,gemma-3-4b-qat.json,ai/shared/models/gemma-3-4b-qat.json,configs,cache,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/models/gemma-3-4b-qat.json,no,no,,,,
A0066,gemma-3n-e2b.json,ai/shared/models/gemma-3n-e2b.json,configs,cache,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/models/gemma-3n-e2b.json,no,no,,,,
A0067,phi4-mini-reasoning.json,ai/shared/models/phi4-mini-reasoning.json,configs,cache,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/models/phi4-mini-reasoning.json,no,no,,,,
A0068,qwen2.5-7b-instruct.json,ai/shared/models/qwen2.5-7b-instruct.json,configs,cache,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/models/qwen2.5-7b-instruct.json,no,no,,,,
A0069,qwen3-0.6b.json,ai/shared/models/qwen3-0.6b.json,configs,cache,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/models/qwen3-0.6b.json,no,no,,,,
A0070,qwen3-4b.json,ai/shared/models/qwen3-4b.json,configs,cache,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/models/qwen3-4b.json,no,no,,,,
A0071,README.md,ai/shared/models/README.md,doc,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,no,yes,,yes,yes,semver,yes,Draft,,ai/shared/models/README.md,no,no,,,,
A0072,project-mgmt-prompt.md,ai/shared/prompts/project-mgmt-prompt.md,doc,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,no,yes,,yes,yes,semver,yes,Draft,,ai/shared/prompts/project-mgmt-prompt.md,no,no,,,,
A0073,prompt-test-framework.md,ai/shared/prompts/prompt-test-framework.md,doc,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,no,yes,,yes,yes,semver,yes,Draft,,ai/shared/prompts/prompt-test-framework.md,no,no,,,,
A0074,README.md,ai/shared/prompts/README.md,doc,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,no,yes,,yes,yes,semver,yes,Draft,,ai/shared/prompts/README.md,no,no,,,,
A0075,run-prompt-test.ps1,ai/shared/prompts/run-prompt-test.ps1,tooling,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/prompts/run-prompt-test.ps1,no,no,,,,
A0076,startup-prmt.md,ai/shared/prompts/startup-prmt.md,doc,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,no,yes,,yes,yes,semver,yes,Draft,,ai/shared/prompts/startup-prmt.md,no,no,,,,
A0077,test-prompt.js,ai/shared/prompts/test-prompt.js,tooling,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/prompts/test-prompt.js,no,no,,,,
A0078,test-prompt.ts,ai/shared/prompts/test-prompt.ts,tooling,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/prompts/test-prompt.ts,no,no,,,,
A0079,ultrathink.prompt.md,ai/shared/prompts/ultrathink.prompt.md,doc,mutable,authoritative,ai,none,,,,,,,,,,,,none,no,,yes,env redirect,NA,all,internal,no,yes,,yes,yes,semver,yes,Draft,,ai/shared/prompts/ultrathink.prompt.md,no,no,,,,
A0080,collaborative-reasoning.yaml,ai/shared/resources/collaborative-reasoning.yaml,configs,mutable,authoritative,ai,none,,,,,,,,,,,,warn,no,,yes,env redirect,NA,all,internal,unknown,yes,,yes,yes,semver,yes,Draft,,ai/shared/resources/collaborative-reasoning.yaml,no,no,,,,
